Company,Car model,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,Score overall balanced,Score performance oriented,Score environment oriented,Score expenditure oriented
Xiao Peng,Xiaopeng P5,211,7.5,12.9,,electricity,31.33471607,9.214505696,23.88228365,75.50676093
BYD,Qin PLUS,163,7.6,13.6,,electricity,26.86196656,7.062299065,21.01757396,72.72745446
BYD,Seagull,75,9.9,13.2,,electricity,15.56519017,2.19018112,15.89852293,64.61841327
BYD,Qin L,163,7.9,11.1,,electricity,28.4321109,6.970667943,25.33171822,74.12567001
BYD,Song Xin Energy PLUS,218,7.7,15.9,,electricity,29.10065727,9.044723287,19.44613763,73.75786999
BYD,Han,245,7.9,13.5,,electricity,32.31597353,10.03670134,23.47961407,75.96080553
BYD,Xia,272,8.1,18.5,,electricity,29.93209924,10.41596076,17.47570465,73.92205203
BYD,Seal 06 New Energy,163,7.9,11.1,,electricity,28.4321109,6.970667943,25.33171822,74.12567001
BYD,Song Pro New Energy,163,8.3,13.1,,electricity,26.06103713,6.504332612,21.27647822,72.30131872
BYD,Tang New Energy,272,7.5,17.8,,electricity,31.52586083,11.22705863,18.62058439,74.91607532
BYD,Yuan UP,177,12.2,12.9,,electricity,22.43593114,4.774981576,19.80784731,69.9237906
BYD,Song L DM-i,218,7.7,13.2,,electricity,31.16801387,9.244304673,23.39883227,75.36164301
BYD,Seal L DM-i,218,8.5,11.7,,electricity,31.04068731,8.542692186,25.56079892,75.5513136
BYD,Seal 07 EV,231,7.3,15,,electricity,31.40316521,10.10173077,21.29472245,75.21767992
BYD,Yuan PLUS,204,7.3,12.2,,electricity,31.87590696,9.216789664,25.14457521,75.93544526
BYD,Dolphin,98,7.8,10.5,,electricity,22.55964333,4.201868663,23.32458077,70.43078321
BYD,Seal 05 DM-i,163,7.6,11.1,,electricity,28.98358298,7.239642165,25.59828464,74.45827244
BYD,Seal,231,6.5,13,,electricity,34.98389152,11.42318945,25.26808102,77.49768866
BYD,Seal 06 GT,218,7.5,13,,electricity,31.74754545,9.49150619,23.9191545,75.72410613
BYD,Song L EV,204,8.5,14.9,,electricity,27.46128437,7.789893448,19.801354,72.90612586
BYD,Sea Lion 05 DM-i,163,8.3,13.1,,electricity,26.06103713,6.504332612,21.27647822,72.30131872
BYD,Destroyer 05,180,7.9,11.4,,electricity,29.56956979,7.652303567,25.37198791,74.74991457
BYD,Frigate 07,197,8.5,21.5,,electricity,23.45435052,7.203710862,13.13475679,69.57876322
BYD,Yuan Pro,95,7.6,12.7,,electricity,20.8683896,4.069753123,19.27034547,68.84354717
BYD,Song MAX New Energy,180,8.5,13.2,,electricity,26.99294214,7.000437126,21.57293155,72.87216379
BYD,e2,95,7.3,10.3,,electricity,23.14983328,4.378254178,23.99308688,70.87827294
BYD,e9,163,7.6,12.9,,electricity,27.4015203,7.108088417,22.14728919,73.17434545
BYD,Qin New Energy,136,7.8,11.5,,electricity,25.7818277,5.866787895,23.38460099,72.39621702
BYD,D1,136,8.2,12.3,,electricity,24.49453827,5.526776097,21.58998434,71.41677795
BYD,e6,136,7.8,13.6,,electricity,24.17785613,5.742928572,19.80133842,70.99883035
BYD,e3,136,8.2,12.3,,electricity,24.49453827,5.526776097,21.58998434,71.41677795
